movieId,keywords
161155.0,931
161155.0,4290
161155.0,5202
161155.0,6054
161155.0,9713
161155.0,9823
161155.0,165503
161155.0,170722
161155.0,187065
160718.0,10090
160718.0,10941
160718.0,15101
160718.0,33467
160718.0,158086
160718.0,158091
161594.0,1495
161594.0,12392
161594.0,179431
161594.0,208510
156025.0,818
156025.0,10131
156025.0,14768
156025.0,15160
156025.0,33455
151307.0,1009
151307.0,1599
151307.0,2246
151307.0,4995
151307.0,5600
151307.0,10707
151307.0,13149
151307.0,33358
151307.0,170521
161336.0,642
161336.0,703
161336.0,974
161336.0,1523
161336.0,3713
161336.0,7281
161336.0,9727
161336.0,9812
161336.0,9826
161336.0,9937
161336.0,10051
161336.0,10085
161336.0,10594
161336.0,10726
161336.0,15076
161336.0,18023
161336.0,34117
161336.0,156121
161336.0,159343
161336.0,159434
161336.0,167104
161336.0,192261
161336.0,207268
161336.0,208009
161336.0,214983
149532.0,90
149532.0,380
149532.0,2072
149532.0,9398
149532.0,9492
149532.0,33626
162542.0,949
162542.0,1562
162542.0,1653
162542.0,193533
152025.0,701
152025.0,769
152025.0,1308
152025.0,2812
152025.0,3268
152025.0,3272
152025.0,3278
152025.0,3376
152025.0,3531
152025.0,3560
152025.0,3561
152025.0,3562
152025.0,3563
152025.0,3564
152025.0,193008
156726.0,833
156726.0,840
156726.0,1605
156726.0,33476
156726.0,211505
161918.0,3633
161918.0,11931
157667.0,1994
157667.0,6411
157667.0,9880
157667.0,15162
157667.0,15169
157667.0,158175
157667.0,158370
157667.0,158371
162376.0,840
162376.0,2946
162376.0,4240
162376.0,5565
162376.0,6086
162376.0,6165
135508.0,911
135508.0,1454
135508.0,1969
135508.0,3799
135508.0,5470
135508.0,12988
148238.0,383
148238.0,726
148238.0,1228
148238.0,2635
148238.0,33625
161084.0,420
161084.0,818
161084.0,964
161084.0,2755
161084.0,7564
161084.0,10911
161084.0,11109
161084.0,15060
161084.0,156507
161084.0,156510
161084.0,156512
156609.0,612
156609.0,613
156609.0,616
156609.0,622
156609.0,922
156609.0,2700
156609.0,12670
156609.0,160488
156609.0,187056
156609.0,198129
127098.0,409
127098.0,1551
127098.0,2526
127098.0,5155
131724.0,380
131724.0,1552
131724.0,14512
131724.0,155735
131724.0,156120
127164.0,395
127164.0,416
127164.0,818
127164.0,8438
127164.0,9826
127164.0,9935
